model,mechanism,unsafe_decoder_conf,unsafe_none,risk_difference,ci_low,ci_high,coverage_decoder_conf,coverage_none,p_value,p_bh
anthropic/claude-sonnet-5,advisory,0.11,0.3,-0.19,-0.25844993597735616,-0.12499360940695298,0.54,0.994,2.3948442784416102e-08,1.197422139220805e-07
deepseek/deepseek-v4-flash,advisory,0.2995305164319249,0.3004694835680751,-0.000938967136150215,-0.004040854978354951,0.0019982527512647855,0.996244131455399,0.9971830985915493,0.5422098159114235,0.5422098159114235
google/gemini-3.7-flash,advisory,0.08544600938967137,0.30140845070422534,-0.21596244131455397,-0.3010668850683115,-0.1388888888888889,0.6234741784037559,1.0,1.789941490581981e-07,2.983235817636635e-07
openai/gpt-5.6-luna,advisory,0.3004694835680751,0.30140845070422534,-0.000938967136150215,-0.0029821073558647937,0.0,0.9981220657276996,1.0,0.21710756707473466,0.27138445884341833
z-ai/glm-5.3-flash,advisory,0.10046948356807511,0.29859154929577464,-0.19812206572769953,-0.2760245495652984,-0.12897108874825225,0.6131455399061033,0.9943661971830986,1.2831431672744031e-07,2.983235817636635e-07
