n,rate,n_participants,ci_halfwidth,ci_halfwidth_icc0.05,ci_halfwidth_icc0.15
100,0.4975,47,0.09799877499234365,0.10072362428996676,0.10596332228804055
150,0.4975,47,0.08001566471635412,0.08428557323235324,0.09223426893145055
200,0.4975,47,0.06929559834506084,0.0747225704697475,0.08453772952249869
300,0.4975,47,0.05657961912208317,0.06374062456633431,0.07606638587654305
400,0.4975,47,0.048999387496171824,0.057467987274276294,0.07145508193312179
600,0.4975,47,0.04000783235817706,0.05042094706177564,0.06652490065997203
800,0.4975,47,0.03464779917253042,0.046498635176006865,0.06391736262311006
1200,0.4975,47,0.028289809561041584,0.04221343676907132,0.06119882418453109
