arm_name,threshold,coverage,risk,n_covered
fair:lexical_resolver_gate,0.14,0.935,0.0,187
fair:lexical_resolver_gate,0.15,0.93,0.0,186
fair:lexical_resolver_gate,0.16,0.93,0.0,186
fair:lexical_resolver_gate,0.17,0.93,0.0,186
fair:lexical_resolver_gate,0.18,0.93,0.0,186
fair:lexical_resolver_gate,0.19,0.895,0.0,179
fair:lexical_resolver_gate,0.2,0.89,0.0,178
fair:lexical_resolver_gate,0.21,0.89,0.0,178
fair:lexical_resolver_gate,0.22,0.89,0.0,178
fair:lexical_resolver_gate,0.23,0.89,0.0,178
fair:lexical_resolver_gate,0.24,0.875,0.0,175
fair:lexical_resolver_gate,0.25,0.85,0.0,170
fair:lexical_resolver_gate,0.26,0.85,0.0,170
fair:lexical_resolver_gate,0.27,0.85,0.0,170
fair:lexical_resolver_gate,0.28,0.83,0.0,166
fair:lexical_resolver_gate,0.29,0.805,0.0,161
fair:lexical_resolver_gate,0.3,0.805,0.0,161
fair:lexical_resolver_gate,0.31,0.795,0.0,159
fair:lexical_resolver_gate,0.32,0.79,0.0,158
fair:lexical_resolver_gate,0.33,0.79,0.0,158
fair:lexical_resolver_gate,0.34,0.77,0.0,154
fair:lexical_resolver_gate,0.35000000000000003,0.755,0.0,151
fair:lexical_resolver_gate,0.36,0.755,0.0,151
fair:lexical_resolver_gate,0.37,0.755,0.0,151
fair:lexical_resolver_gate,0.38,0.755,0.0,151
fair:lexical_resolver_gate,0.39,0.755,0.0,151
fair:lexical_resolver_gate,0.4,0.755,0.0,151
fair:lexical_resolver_gate,0.41000000000000003,0.745,0.0,149
fair:lexical_resolver_gate,0.42,0.745,0.0,149
fair:lexical_resolver_gate,0.43,0.73,0.0,146
fair:lexical_resolver_gate,0.44,0.73,0.0,146
fair:lexical_resolver_gate,0.45,0.73,0.0,146
fair:lexical_resolver_gate,0.46,0.73,0.0,146
fair:lexical_resolver_gate,0.47000000000000003,0.73,0.0,146
fair:lexical_resolver_gate,0.48,0.73,0.0,146
fair:lexical_resolver_gate,0.49,0.725,0.0,145
fair:lexical_resolver_gate,0.5,0.72,0.0,144
fair:lexical_resolver_gate,0.51,0.715,0.0,143
fair:lexical_resolver_gate,0.52,0.705,0.0,141
fair:lexical_resolver_gate,0.53,0.69,0.0,138
fair:lexical_resolver_gate,0.54,0.69,0.0,138
fair:lexical_resolver_gate,0.55,0.69,0.0,138
fair:lexical_resolver_gate,0.56,0.655,0.0,131
fair:lexical_resolver_gate,0.5700000000000001,0.655,0.0,131
fair:lexical_resolver_gate,0.58,0.65,0.0,130
fair:lexical_resolver_gate,0.59,0.62,0.0,124
fair:lexical_resolver_gate,0.6,0.62,0.0,124
fair:lexical_resolver_gate,0.61,0.62,0.0,124
fair:lexical_resolver_gate,0.62,0.62,0.0,124
fair:lexical_resolver_gate,0.63,0.62,0.0,124
fair:lexical_resolver_gate,0.64,0.62,0.0,124
