policy,draw,p_success,p_wrong,p_wrong_tier3,p_unresolved,e_attempts,e_retries_abstain,e_retries_parse,success_per_100_attempts,p_success_lo,p_success_hi,p_wrong_lo,p_wrong_hi,p_wrong_tier3_lo,p_wrong_tier3_hi,p_unresolved_lo,p_unresolved_hi,e_attempts_lo,e_attempts_hi,e_retries_abstain_lo,e_retries_abstain_hi,e_retries_parse_lo,e_retries_parse_hi,success_per_100_attempts_lo,success_per_100_attempts_hi,n_boot_dropped
gate:confidence,without_replacement,0.9645649036953385,0.0,0.0,0.035435096304661524,1.4520881694794736,0.4875232657841353,0.0,66.42605621124946,0.888422528943401,0.9871371228846837,0.0,0.0,0.0,0.0,0.012862877115316387,0.11157747105659878,1.2914380591015726,1.6779526091628427,0.3044992951058175,0.787786298933169,0.0,0.0,53.057577811016046,76.40246072403544,0
gate:lexical,without_replacement,0.999937260806826,0.0,0.0,6.273919317397578e-05,1.06248823640128,0.06255097559445386,0.0,94.11278417478593,0.9955823828764294,1.0,0.0,0.0,0.0,0.0,0.0,0.004417617123570567,1.0111098251028807,1.1550319685001333,0.011109825102880657,0.1580024838972942,0.0,0.0,86.32055800436136,98.90122469745975,0
claude-sonnet-5:none,without_replacement,0.9748353096179182,0.0,0.0,0.025164690382081686,1.3951000690131121,0.3516395842482799,0.06862517514691428,69.87565489173207,0.916017083897847,0.9904270325863744,0.0,0.0,0.0,0.0,0.009572967413625642,0.08398291610215301,1.2580441766151282,1.5805905817810506,0.22891079345995116,0.5423746029154283,0.020200228549686755,0.1476036571736681,58.13582516563238,78.71803220064265,0
claude-sonnet-5:advisory,without_replacement,0.9453918062613715,0.0,0.0,0.054608193738628526,1.5247506117071334,0.4576249032770773,0.1217339021686848,62.003044891577176,0.8628741463005553,0.9760912244021988,0.0,0.0,0.0,0.0,0.023908775597801437,0.13712585369944474,1.3595681586808113,1.739388197296925,0.2695064111232225,0.7378180622889104,0.0608519540013264,0.21045855444339331,49.869610895396136,71.82143793264008,0
claude-sonnet-5:enforced,without_replacement,0.9697785306480959,0.0,0.0,0.03022146935190413,1.433360520317042,0.4295825752347492,0.033999414434197045,67.6576839463663,0.8984431342258726,0.9894985582931721,0.0,0.0,0.0,0.0,0.010501441706827694,0.1015568657741274,1.2758204694044673,1.6538493465482966,0.25549418878897673,0.7111165164150003,0.008671046302625251,0.0751777903985054,54.37194973599109,77.51406869415958,0
gemini-3.7-flash:none,without_replacement,0.9913827718175544,0.005555555555555556,0.0,0.0030616726268900183,1.1322855888073278,0.042241253110818326,0.09310600832339962,87.55589416816734,0.9689778665850711,0.9992723237515017,0.0,0.0196078431372549,0.0,0.0,0.0003391670058336725,0.021502480800076943,1.066723098376607,1.2257946643494595,0.008744855967078188,0.09802454799604093,0.04616497172418225,0.16410129009902072,79.41151471959607,93.26796178694848,0
gemini-3.7-flash:advisory,without_replacement,0.9793242988895163,0.0,0.0,0.02067570111048372,1.3320262668088754,0.12143379969466925,0.2312681682246899,73.52139543281497,0.9315181974390273,0.9938629809704486,0.0,0.0,0.0,0.0,0.006137019029551478,0.06848180256097255,1.2050279476026269,1.5024004411662235,0.05643948999731799,0.2186620945167282,0.12795092327346547,0.3807704670076562,62.014435845529874,82.35179111471001,0
gemini-3.7-flash:enforced,without_replacement,0.9924681598594641,0.005844155844155844,0.0,0.0016876842963799486,1.117583704540226,0.06358512662860488,0.05568626220800134,88.80481666183256,0.9716442035668801,0.9995171001044941,0.0,0.021739926739926706,0.0,0.0,0.00019323107869624086,0.014930120060531434,1.0581478888674256,1.206139793743108,0.018116936799212342,0.13101713052187314,0.024416327654886008,0.1087250664998343,81.462159088142,93.92522489637975,0
gpt-5.6-luna:none,without_replacement,0.9719242110546458,0.0,0.0,0.02807578894535416,1.3979756153669198,0.42605140431227384,0.0,69.52368842281626,0.9077878990640634,0.9904623490920226,0.0,0.0,0.0,0.0,0.009537650907977355,0.09221210093593656,1.2541072606399424,1.5977922464378858,0.2641403886279158,0.6853100530813756,0.0,0.0,56.941308175385934,78.9835929323086,0
gpt-5.6-luna:advisory,without_replacement,0.9777213125039211,0.0,0.0,0.0222786874960788,1.3657590396720831,0.388037727168162,0.0,71.58812675614219,0.9218377058640451,0.9928122862655705,0.0,0.0,0.0,0.0,0.007187713734429589,0.078162294135955,1.2272679936518862,1.5624569452058064,0.2352789339736618,0.6400613414852266,0.0,0.0,59.05232231600031,80.83550685006533,0
gpt-5.6-luna:enforced,without_replacement,0.9677395068699417,0.0,0.0,0.03226049313005834,1.4287596461509502,0.45337223163310125,0.0076479076479076475,67.73284152285603,0.8975040342668978,0.98878969621379,0.0,0.0,0.0,0.0,0.011210303786209996,0.10249596573310228,1.2731141051821804,1.6389974931715052,0.27727231909329375,0.7366188879969668,0.0,0.03091368913737333,54.82540273647836,77.65679821431925,0
glm-5.3-flash:none,without_replacement,0.9964144551101073,0.0,0.0,0.003585544889892716,1.1610619654097913,0.09370412196499155,0.07094338833469267,85.81923142736207,0.9818668922554991,0.9995250794980544,0.0,0.0,0.0,0.0,0.0004749205019457857,0.018133107744500842,1.0879800574102467,1.2539757875197313,0.045021667241775934,0.15648147774566556,0.031644451998618664,0.13007703330867132,78.4507880212355,91.88217039138438,0
