model,contrast,endpoint,a,b,difference,lo,hi,n_boot_dropped
claude-sonnet-5,enforced_minus_advisory,p_success,0.9697785306480959,0.9453918062613715,0.0243867243867244,-0.012854727497943919,0.07492418846011346,0
claude-sonnet-5,enforced_minus_advisory,p_wrong,0.0,0.0,0.0,0.0,0.0,0
claude-sonnet-5,enforced_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
claude-sonnet-5,enforced_minus_advisory,p_unresolved,0.03022146935190413,0.054608193738628526,-0.024386724386724394,-0.07492418846011345,0.012854727497943965,0
claude-sonnet-5,enforced_minus_advisory,e_attempts,1.433360520317042,1.5247506117071334,-0.09139009139009135,-0.21446537425575,0.0347839301434992,0
claude-sonnet-5,enforced_minus_advisory,success_per_100_attempts,67.6576839463663,62.003044891577176,5.654639054789129,-2.054448149807267,13.568503720723713,0
claude-sonnet-5,advisory_minus_none,p_success,0.9453918062613715,0.9748353096179182,-0.029443503356546663,-0.0795577616112708,0.005326916463959856,0
claude-sonnet-5,advisory_minus_none,p_wrong,0.0,0.0,0.0,0.0,0.0,0
claude-sonnet-5,advisory_minus_none,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
claude-sonnet-5,advisory_minus_none,p_unresolved,0.054608193738628526,0.025164690382081686,0.02944350335654684,-0.00532691646395999,0.07955776161127087,0
claude-sonnet-5,advisory_minus_none,e_attempts,1.5247506117071334,1.3951000690131121,0.12965054269402132,0.014599704690633436,0.24904011385809222,0
claude-sonnet-5,advisory_minus_none,success_per_100_attempts,62.003044891577176,69.87565489173207,-7.872610000154893,-15.265261583677,-0.4348827749563778,0
claude-sonnet-5,gate_minus_advisory,p_success,0.9645649036953385,0.9453918062613715,0.019173097433967,-0.02229747352349972,0.0660805843347635,0
claude-sonnet-5,gate_minus_advisory,p_wrong,0.0,0.0,0.0,0.0,0.0,0
claude-sonnet-5,gate_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
claude-sonnet-5,gate_minus_advisory,p_unresolved,0.035435096304661524,0.054608193738628526,-0.019173097433967,-0.06608058433476338,0.022297473523499783,0
claude-sonnet-5,gate_minus_advisory,e_attempts,1.4520881694794736,1.5247506117071334,-0.07266244222765983,-0.19879088317407057,0.052821724809993635,0
claude-sonnet-5,gate_minus_advisory,success_per_100_attempts,66.42605621124946,62.003044891577176,4.423011319672284,-3.426290220603786,12.517966313732337,0
gemini-3.7-flash,enforced_minus_advisory,p_success,0.9924681598594641,0.9793242988895163,0.013143860969947796,-0.0010460803631292786,0.048826839175640506,0
gemini-3.7-flash,enforced_minus_advisory,p_wrong,0.005844155844155844,0.0,0.005844155844155844,0.0,0.021739926739926706,0
gemini-3.7-flash,enforced_minus_advisory,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
gemini-3.7-flash,enforced_minus_advisory,p_unresolved,0.0016876842963799486,0.02067570111048372,-0.01898801681410377,-0.06081386067226888,-0.004700158839518632,0
gemini-3.7-flash,enforced_minus_advisory,e_attempts,1.117583704540226,1.3320262668088754,-0.21444256226864944,-0.3608644464113272,-0.09916775032509795,0
gemini-3.7-flash,enforced_minus_advisory,success_per_100_attempts,88.80481666183256,73.52139543281497,15.283421229017591,7.470087598113494,24.761938171743118,0
gemini-3.7-flash,advisory_minus_none,p_success,0.9793242988895163,0.9913827718175544,-0.012058472928038078,-0.04988246651106836,0.005440103055378535,0
gemini-3.7-flash,advisory_minus_none,p_wrong,0.0,0.005555555555555556,-0.005555555555555556,-0.0196078431372549,0.0,0
gemini-3.7-flash,advisory_minus_none,p_wrong_tier3,0.0,0.0,0.0,0.0,0.0,0
