episode_id,participant_id,n_errors,episode_correct,product,min,mean,logsum,isotonic_episode
bigP3BCI-data/StudyB/B_01/SE004/Test/CB/B_01_SE004_CB_Test09.edf#0000,StudyB:B_01,0,1,0.8261144192194532,0.9377358490566038,0.9383111938404265,-0.19102199299700384,0.8652037617554859
bigP3BCI-data/StudyB/B_01/SE005/Test/CB/B_01_SE005_CB_Test06.edf#0000,StudyB:B_01,0,1,0.8032732731450242,0.925531914893617,0.929599892947946,-0.21906030768037926,0.813953488372093
bigP3BCI-data/StudyB/B_01/SE005/Test/CB/B_01_SE005_CB_Test07.edf#0000,StudyB:B_01,0,1,0.8245966334625228,0.9377358490566038,0.9377358490566038,-0.1928609413486163,0.8652037617554859
bigP3BCI-data/StudyB/B_01/SE005/Test/CB/B_01_SE005_CB_Test08.edf#0000,StudyB:B_01,0,1,0.7730376839757532,0.9024390243902439,0.9178342847258261,-0.2574274812909238,0.813953488372093
bigP3BCI-data/StudyB/B_01/SE005/Test/CB/B_01_SE005_CB_Test09.edf#0000,StudyB:B_01,0,1,0.7935584228394794,0.9024390243902439,0.9259702408344839,-0.2312281149591609,0.813953488372093
bigP3BCI-data/StudyB/B_01/SE006/Test/CB/B_01_SE006_CB_Test06.edf#0000,StudyB:B_01,0,1,0.7636885052697743,0.9024390243902439,0.914204632612364,-0.26959528856970544,0.813953488372093
bigP3BCI-data/StudyB/B_01/SE006/Test/CB/B_01_SE006_CB_Test07.edf#0000,StudyB:B_01,0,1,0.7085106382978723,0.8482758620689655,0.8920822671176089,-0.3445902047236604,0.7894736842105263
bigP3BCI-data/StudyB/B_01/SE006/Test/CB/B_01_SE006_CB_Test08.edf#0000,StudyB:B_01,0,1,0.618609397677794,0.7472527472527473,0.8559336987697836,-0.4802812269975587,0.7875
bigP3BCI-data/StudyB/B_01/SE006/Test/CB/B_01_SE006_CB_Test09.edf#0000,StudyB:B_01,0,1,0.7935584228394794,0.9024390243902439,0.9259702408344839,-0.2312281149591609,0.813953488372093
bigP3BCI-data/StudyB/B_01/SE007/Test/CB/B_01_SE007_CB_Test06.edf#0000,StudyB:B_01,0,1,0.5595940697233801,0.7472527472527473,0.8261137031072376,-0.5805436335961769,0.6666666666666666
bigP3BCI-data/StudyB/B_01/SE007/Test/CB/B_01_SE007_CB_Test07.edf#0000,StudyB:B_01,0,1,0.7537496677509588,0.9024390243902439,0.9101366545580349,-0.2826949717355869,0.813953488372093
bigP3BCI-data/StudyB/B_01/SE007/Test/CB/B_01_SE007_CB_Test08.edf#0000,StudyB:B_01,0,1,0.4656948559116617,0.6708860759493671,0.7821393302809948,-0.7642246749821008,0.5520833333333334
bigP3BCI-data/StudyB/B_01/SE007/Test/CB/B_01_SE007_CB_Test09.edf#0000,StudyB:B_01,0,1,0.2384765332133753,0.5185185185185186,0.6355925426100865,-1.4334843667299968,0.3333333333333333
bigP3BCI-data/StudyB/B_01/SE008/Test/CB/B_01_SE008_CB_Test06.edf#0000,StudyB:B_01,0,1,0.6526547241803012,0.7619047619047619,0.8709895305639986,-0.4267070427144823,0.7875
bigP3BCI-data/StudyB/B_01/SE008/Test/CB/B_01_SE008_CB_Test07.edf#0000,StudyB:B_01,0,1,0.6708921694480103,0.8421052631578947,0.8757855958493795,-0.39914685619401924,0.7875
bigP3BCI-data/StudyB/B_01/SE008/Test/CB/B_01_SE008_CB_Test08.edf#0000,StudyB:B_01,0,1,0.5344845052485335,0.6708860759493671,0.8187125334465369,-0.6264525381822597,0.5520833333333334
bigP3BCI-data/StudyB/B_01/SE008/Test/CB/B_01_SE008_CB_Test09.edf#0000,StudyB:B_01,0,1,0.6931017287234043,0.8482758620689655,0.8855400923208608,-0.36657849587085367,0.7875
bigP3BCI-data/StudyB/B_02/SE001/Test/CB/B_02_SE001_CB_Test08.edf#0000,StudyB:B_02,0,1,0.76768638775357,0.8867924528301887,0.9158898873488125,-0.2643739785109418,0.813953488372093
bigP3BCI-data/StudyB/B_02/SE001/Test/CB/B_02_SE001_CB_Test09.edf#0000,StudyB:B_02,0,1,0.7150927718455649,0.8118811881188119,0.8963581259528413,-0.33534299387208283,0.7894736842105263
bigP3BCI-data/StudyB/B_02/SE001/Test/CB/B_02_SE001_CB_Test10.edf#0000,StudyB:B_02,0,1,0.8241008163342181,0.9252336448598131,0.9376122513653825,-0.19346240663663886,0.8652037617554859
bigP3BCI-data/StudyB/B_02/SE002/Test/CB/B_02_SE002_CB_Test06.edf#0000,StudyB:B_02,1,0,0.8384716872309017,0.9252336448598131,0.9430509115398703,-0.17617446426283684,0.8652037617554859
bigP3BCI-data/StudyB/B_02/SE002/Test/CB/B_02_SE002_CB_Test07.edf#0000,StudyB:B_02,0,1,0.8099762530153266,0.9252336448598131,0.9321735911908947,-0.21075034901044087,0.8652037617554859
