threshold,n_cells_excluded,headline_matched_gap,headline_gap_lo,headline_gap_hi
1.01,0,0.07369825172178918,0.022456205910440365,0.11604179572392367
0.25,7,0.0512687717403556,0.011650694123810913,0.09191253609356177
0.15,11,0.0494991165070679,0.01167555768786276,0.07851557918879024
0.05,18,0.00504688947641968,1.180102823659518e-05,0.01108903993915864
